x,y,R
0,0,0.340205
1,0,0.7428
2,0,0.732927
3,0,0.722607
4,0,0.711823
5,0,0.700562
6,0,0.68881
7,0,0.676556
8,0,0.663792
9,0,0.650511
10,0,0.636712
11,0,0.622396
12,0,0.607572
13,0,0.592252
14,0,0.57646
15,0,0.478872
16,0,0.455604
17,0,0.52663
18,0,0.509394
19,0,0.491981
20,0,0.474502
21,0,0.457091
22,0,0.439907
23,0,0.423138
24,0,0.407
25,0,0.391739
26,0,0.377629
27,0,0.364964
28,0,0.354047
29,0,0.345174
30,0,0.338615
31,0,0.451187
32,0,0.356504
33,0,0.334584
34,0,0.338614
35,0,0.345172
36,0,0.354042
37,0,0.364956
38,0,0.377618
39,0,0.391725
40,0,0.406982
41,0,0.423118
42,0,0.439886
43,0,0.457069
44,0,0.47448
45,0,0.491959
46,0,0.509373
47,0,0.634189
48,0,0.556888
49,0,0.56021
50,0,0.576445
51,0,0.592239
52,0,0.607562
53,0,0.622389
54,0,0.636708
55,0,0.650509
56,0,0.663791
57,0,0.676556
58,0,0.68881
59,0,0.700562
60,0,0.711823
61,0,0.722607
62,0,0.732927
63,0,0.469181
0,1,0.7428
1,1,0.999827
2,1,0.999821
3,1,0.999815
4,1,0.999809
5,1,0.999803
6,1,0.999796
7,1,0.99979
8,1,0.999783
9,1,0.999777
10,1,0.99977
11,1,0.999763
12,1,0.999756
13,1,0.999749
14,1,0.999742
15,1,0.999734
16,1,0.999727
17,1,0.99972
18,1,0.999713
19,1,0.999706
20,1,0.9997
21,1,0.999693
22,1,0.999687
23,1,0.999682
24,1,0.999676
25,1,0.999671
26,1,0.999667
27,1,0.999663
28,1,0.99966
29,1,0.999657
30,1,0.999655
31,1,0.999654
32,1,0.999653
33,1,0.999653
34,1,0.999654
35,1,0.999656
36,1,0.999658
37,1,0.999662
38,1,0.999665
39,1,0.99967
40,1,0.999674
41,1,0.99968
42,1,0.999686
43,1,0.999692
44,1,0.999698
45,1,0.999705
46,1,0.999712
47,1,0.999719
48,1,0.999726
49,1,0.999733
50,1,0.999741
51,1,0.999748
52,1,0.999755
53,1,0.999762
54,1,0.999769
55,1,0.999776
56,1,0.999783
57,1,0.99979
58,1,0.999796
59,1,0.999803
60,1,0.999809
61,1,0.999815
62,1,0.999821
63,1,0.742877
0,2,0.732927
1,2,0.999821
2,2,0.999815
3,2,0.999809
4,2,0.999802
5,2,0.999795
6,2,0.999789
7,2,0.999782
8,2,0.999775
9,2,0.999767
10,2,0.99976
11,2,0.999753
12,2,0.999745
13,2,0.999737
14,2,0.999729
15,2,0.999721
16,2,0.999713
17,2,0.999705
18,2,0.999697
19,2,0.999689
20,2,0.999682
21,2,0.999675
22,2,0.999668
23,2,0.999662
24,2,0.999656
25,2,0.99965
26,2,0.999646
27,2,0.999642
28,2,0.999638
29,2,0.999635
30,2,0.999633
31,2,0.999631
32,2,0.99963
33,2,0.99963
34,2,0.999631
35,2,0.999633
36,2,0.999636
37,2,0.999639
38,2,0.999643
39,2,0.999648
40,2,0.999654
41,2,0.99966
42,2,0.999666
43,2,0.999673
44,2,0.999681
45,2,0.999688
46,2,0.999696
47,2,0.999704
48,2,0.999712
49,2,0.99972
50,2,0.999728
51,2,0.999736
52,2,0.999744
53,2,0.999751
54,2,0.999759
55,2,0.999767
56,2,0.999774
57,2,0.999781
58,2,0.999789
59,2,0.999795
60,2,0.999802
61,2,0.999809
62,2,0.999815
63,2,0.733007
0,3,0.722607
1,3,0.999815
2,3,0.999809
3,3,0.999802
4,3,0.999795
5,3,0.999788
6,3,0.999781
7,3,0.999773
8,3,0.999766
9,3,0.999758
10,3,0.999749
11,3,0.999741
12,3,0.999732
13,3,0.999723
14,3,0.999714
15,3,0.999705
16,3,0.999696
17,3,0.999687
18,3,0.999679
19,3,0.99967
20,3,0.999662
21,3,0.999653
22,3,0.999646
23,3,0.999639
24,3,0.999632
25,3,0.999626
26,3,0.999621
27,3,0.999616
28,3,0.999613
29,3,0.99961
30,3,0.999608
31,3,0.999606
