time,norm,norm_error,E_total,E_kin,E_pot,pos_x_re,pos_x_im,pos_y_re,pos_y_im,mom_x_re,mom_x_im,mom_y_re,mom_y_im,R_avg,R_max,R_min,R_var,norm_valid,energy_valid
0,1.000002063,2.062848716e-06,1.10728036,0.1108863244,0.9963940355,128.0102643,0,128.0002643,0,0.3080195788,1.72952334e-18,-1.827475863e-08,1.077822843e-16,0.9949254042,0.9972929955,0,0.0002856195559,1,1
0.09999999404,0.9999999173,-8.271405205e-08,1.107323267,0.1108863917,0.9964368758,128.1099848,0,127.9999919,0,0.3080191838,7.28561862e-19,-2.467971655e-07,2.115699287e-17,0.9949486719,0.9972929955,0.7750717402,0.0002686803928,1,1
0.1999999881,0.9999978671,-2.132878333e-06,1.107339881,0.110886793,0.9964530876,128.20968,0,127.9997319,0,0.3080189786,7.496316958e-19,-3.280006785e-07,-6.341731043e-17,0.9949461,0.9972929955,0.7750717402,0.0002693311768,1,1
0.2999999821,0.9999956116,-4.388393436e-06,1.107331189,0.1108875094,0.9964436793,128.3092773,0,127.9994455,0,0.3080188984,5.38003989e-19,-4.884526756e-07,-2.069502635e-16,0.9949528257,0.9972929955,0.7743401527,0.0002684934429,1,1
0.3999999762,0.9999933843,-6.61570923e-06,1.107260521,0.1108883649,0.9963721565,128.4087734,0,127.9991628,0,0.3080187229,1.023211421e-18,-6.262155513e-07,-2.588604536e-16,0.9949639136,0.9972929955,0.775077045,0.0002668968681,1,1
0.5,0.9999912233,-8.77671832e-06,1.107332687,0.1108893601,0.9964433268,128.508141,0,127.9988885,0,0.3080185502,1.214434227e-18,-7.308773298e-07,-1.020332028e-16,0.9949503052,0.9972929955,0.7750717402,0.0002683633806,1,1
0.5999999642,0.9999890621,-1.093794006e-05,1.107321572,0.110890593,0.9964309788,128.607339,0,127.9986141,0,0.3080185518,2.24710915e-19,-8.601316419e-07,6.303533185e-17,0.9949297476,0.9972929955,0,0.0002846527573,1,1
0.6999999881,0.9999869233,-1.307674879e-05,1.107329132,0.1108921705,0.9964369619,128.7063394,0,127.9983426,0,0.3080188701,1.310065855e-18,-9.650013073e-07,1.991490486e-16,0.9949329479,0.9972929955,0,0.0002843612284,1,1
0.7999999523,0.9999847881,-1.521191055e-05,1.107249027,0.1108937844,0.9963552423,128.8051097,0,127.9980716,0,0.3080192148,1.458436933e-19,-1.104266887e-06,-2.064265566e-16,0.9949541236,0.9972929955,0,0.0002804935874,1,1
0.8999999762,0.9999826504,-1.7349595e-05,1.107259891,0.1108954466,0.9963644444,128.90362,0,127.9978001,0,0.3080195697,-4.469522942e-19,-1.309670507e-06,-3.214948076e-17,0.9949517017,0.9972929955,0.7750717402,0.0002675533469,1,1
1,0.999980551,-1.944895738e-05,1.107301464,0.1108971585,0.9964043057,129.0018486,0,127.9975339,0,0.3080200578,-9.693290135e-19,-1.445927164e-06,9.089436639e-17,0.9949477701,0.9972929955,0.7750717402,0.0002689836814,1,1
1.100000024,0.9999783606,-2.163940817e-05,1.107318233,0.1108988536,0.9964193789,129.0997526,0,127.9972559,0,0.3080207282,-2.569163913e-19,-1.505300352e-06,8.842493929e-17,0.9949558388,0.9972929955,0.7750717402,0.000267236186,1,1
1.199999928,0.9999762198,-2.37801643e-05,1.107231932,0.1109006638,0.9963312684,129.1973254,0,127.9969841,0,0.3080215296,2.833879388e-19,-1.645303682e-06,2.640857646e-16,0.9949438381,0.9972929955,0,0.0002819187159,1,1
1.299999952,0.9999740799,-2.592013779e-05,1.107446448,0.1109023213,0.996544127,129.2945384,0,127.9967124,0,0.3080224079,-1.176563241e-19,-1.84525414e-06,-3.583350943e-17,0.9949614403,0.9972929955,0.7743401527,0.0002674391779,1,1
1.399999976,0.999971912,-2.808799043e-05,1.107308119,0.1109041634,0.9964039554,129.3913668,0,127.9964374,0,0.3080235462,5.38029568e-19,-1.996074132e-06,-4.4540122e-18,0.9949531984,0.9972929955,0.7750717402,0.0002673778744,1,1
1.5,0.9999698227,-3.017733696e-05,1.107276146,0.1109055516,0.9963705948,129.4878059,0,127.9961724,0,0.3080242047,-9.099282297e-19,-2.387645981e-06,9.960872288e-18,0.9949599386,0.9972929955,0.7750717402,0.0002672084308,1,1
1.599999905,0.9999677064,-3.229361694e-05,1.107220635,0.110907389,0.9963132462,129.5838249,0,127.9959038,0,0.3080256401,-8.267060838e-20,-2.54976852e-06,1.43628921e-18,0.9949480213,0.9972929955,0,0.0002806580054,1,1
1.699999928,0.99996566,-3.4339985e-05,1.107314804,0.1109093604,0.9964054436,129.6794219,0,127.9956443,0,0.3080274155,-8.543848811e-19,-2.666435942e-06,1.50416408e-16,0.9949378325,0.9972929955,0,0.0002832388726,1,1
1.799999952,0.9999636353,-3.636470768e-05,1.107292444,0.1109112283,0.9963812153,129.7745782,0,127.9953876,0,0.3080292577,2.547713211e-19,-2.780400063e-06,-1.045280612e-16,0.9949390372,0.9972929955,0,0.0002823389321,1,1
1.899999976,0.999961539,-3.846104918e-05,1.10727898,0.1109129241,0.9963660557,129.8692712,0,127.9951215,0,0.3080308469,-8.785122585e-19,-2.969423716e-06,4.988777802e-17,0.9949367017,0.9972929955,0,0.000282461757,1,1
2,0.9999594881,-4.051192871e-05,1.107160702,0.1109148349,0.996245867,129.9635081,0,127.9948614,0,0.3080329013,1.290037093e-18,-3.144203698e-06,-1.423305648e-16,0.9949424421,0.9972929955,0,0.000282145127,1,1
2.099999905,0.9999573763,-4.262372438e-05,1.107286433,0.1109169012,0.9963695313,130.0572694,0,127.9945936,0,0.3080352851,-3.313840691e-19,-3.290087678e-06,9.849112979e-17,0.9949333223,0.9972929955,0,0.0002835739623,1,1
2.200000048,0.9999553497,-4.465030199e-05,1.107174446,0.1109188962,0.99625555,130.1505697,0,127.9943366,0,0.3080376687,8.130623932e-19,-3.415030179e-06,-1.82855928e-16,0.9949302631,0.9972929955,0,0.0002863511223,1,1
2.299999952,0.9999533785,-4.662148246e-05,1.107288313,0.1109208368,0.9963674761,130.2434043,0,127.9940869,0,0.3080400176,-3.827177735e-19,-3.528455094e-06,-1.004857146e-16,0.9949396315,0.9972929955,0,0.0002835232167,1,1
2.399999857,0.9999513242,-4.867583406e-05,1.107323592,0.1109227895,0.9964008027,130.3357562,0,127.9938264,0,0.308042476,2.366844387e-19,-3.703046087e-06,-2.803357917e-16,0.9949560495,0.9972929955,0.7750717402,0.0002670649565,1,1
2.5,0.9999492594,-5.074057889e-05,1.107387354,0.1109246752,0.9964626785,130.427638,0,127.9935648,0,0.3080448899,-5.618818476e-19,-3.835420053e-06,1.813881125e-16,0.9949503074,0.9972929955,0.7750717402,0.0002681287514,1,1
2.599999905,0.9999472306,-5.276941938e-05,1.107277497,0.1109266348,0.9963508618,130.5190606,0,127.9933078,0,0.3080472472,-5.468306665e-19,-4.041432823e-06,5.139654948e-17,0.9949513732,0.9972929955,0.775077045,0.0002684549515,1,1
2.700000048,0.9999451199,-5.488011494e-05,1.107270748,0.1109287837,0.9963419644,130.6100164,0,127.9930403,0,0.3080499574,3.621586573e-19,-4.213448044e-06,-1.577086438e-16,0.9949623661,0.9972929955,0.7750717402,0.0002656681961,1,1
2.799999952,0.9999432004,-5.679959242e-05,1.107271982,0.1109315357,0.9963404461,130.7005501,0,127.9927969,0,0.3080535645,1.284437488e-18,-4.357122697e-06,4.119761964e-17,0.9949379563,0.9972929955,0,0.0002826912707,1,1
2.899999857,0.99994116,-5.883998465e-05,1.106982261,0.1109335561,0.9960487045,130.790632,0,127.9925383,0,0.308055993,-1.810837182e-19,-4.741832081e-06,1.442088821e-16,0.9949771753,0.9972929955,0.7698817849,0.0002631299425,1,1
3,0.9999391864,-6.081359985e-05,1.107263785,0.1109364312,0.9963273537,130.8802998,0,127.9922882,0,0.3080597653,-1.30257483e-18,-4.890413064e-06,4.343143993e-17,0.9949409608,0.9972929955,0.7750718594,0.0002706086467,1,1
3.099999905,0.9999371512,-6.284876329e-05,1.10718449,0.1109394995,0.9962449903,130.9695517,0,127.9920305,0,0.3080637617,1.747382351e-18,-5.01217011e-06,-1.679887111e-16,0.9949462929,0.9972929955,0.7750717402,0.0002697479083,1,1
3.199999809,0.9999352311,-6.476885076e-05,1.107196791,0.1109422457,0.9962545457,131.0584273,0,127.991787,0,0.3080672628,-6.519445701e-19,-5.218595274e-06,2.098432732e-17,0.9949564596,0.9972929955,0.7750717402,0.0002668724512,1,1
3.299999952,0.9999332265,-6.677348712e-05,1.107244281,0.1109450554,0.9962992251,131.1469183,0,127.9915327,0,0.3080709496,-6.071404079e-19,-5.394580578e-06,-8.068559494e-17,0.994930945,0.9972929955,0,0.0002851265782,1,1
3.399999857,0.9999312783,-6.872171776e-05,1.10717204,0.1109480068,0.996224033,131.2350625,0,127.9912858,0,0.3080748489,-2.747310439e-19,-5.594319347e-06,1.603352742e-17,0.9949497398,0.9972929955,0,0.0002801082817,1,1
3.5,0.9999293549,-7.064514213e-05,1.107244251,0.1109509878,0.996293263,131.3228763,0,127.9910423,0,0.3080787971,-8.179580922e-19,-5.850020501e-06,1.400253299e-16,0.9949435334,0.9972929955,0,0.0002817777844,1,1
3.599999905,0.9999272833,-7.271674453e-05,1.106721547,0.1109543454,0.9957672016,131.4103593,0,127.9907794,0,0.3080832375,1.164531728e-18,-6.089563842e-06,4.383310472e-17,0.9949490549,0.9972929955,0,0.0002830271691,1,1
3.699999809,0.9999252746,-7.472544074e-05,1.107169691,0.1109580102,0.9962116811,131.4975613,0,127.9905249,0,0.3080880922,7.35771677e-19,-6.25377508e-06,2.178072626e-17,0.9949500819,0.9972929955,0.7750717402,0.0002696632275,1,1
3.799999952,0.9999233187,-7.668130844e-05,1.107165389,0.1109613625,0.9962040269,131.5845048,0,127.9902769,0,0.3080926343,-9.089961592e-19,-6.457779658e-06,-1.003181637e-17,0.99494556,0.9972929955,0.7750717402,0.0002688859435,1,1
3.899999857,0.9999213242,-7.867581623e-05,1.10721588,0.1109648486,0.9962510311,131.6712024,0,127.990024,0,0.3080974468,4.671224924e-19,-6.623988509e-06,1.908051823e-16,0.994940166,0.9972929955,0,0.0002833883987,1,1
4,0.9999193581,-8.064191285e-05,1.107190544,0.1109685979,0.9962219461,131.7576872,0,127.9897745,0,0.308102501,1.137424303e-18,-6.898341296e-06,1.388708239e-17,0.9949501182,0.9972929955,0,0.000280963006,1,1
4.099999905,0.9999173421,-8.265788542e-05,1.107241303,0.1109724551,0.9962688478,131.8439741,0,127.9895189,0,0.3081078728,3.614484129e-20,-7.169259821e-06,-1.941839279e-17,0.9949309665,0.9972929955,0,0.000284968339,1,1
4.199999809,0.9999153332,-8.466677894e-05,1.107205358,0.1109764468,0.9962289108,131.9300967,0,127.9892639,0,0.3081133925,-1.733773401e-18,-7.374031163e-06,-1.577838208e-16,0.9949634884,0.9972929955,0.7750717402,0.0002662610749,1,1
4.299999714,0.9999133784,-8.662164953e-05,1.107075488,0.1109803682,0.9960951194,132.0160862,0,127.9890161,0,0.3081188466,-3.652497322e-19,-7.656709931e-06,-2.823043626e-17,0.9949418638,0.9972929955,0.7750717402,0.0002701144056,1,1
4.400000095,0.9999113747,-8.862533656e-05,1.107132566,0.1109850849,0.9961474812,132.101955,0,127.9887616,0,0.3081254858,3.317466861e-19,-7.917705649e-06,6.93433188e-17,0.9949503995,0.9972929955,0,0.000281141071,1,1
4.5,0.9999094469,-9.055313839e-05,1.107179445,0.1109895252,0.9961899195,132.1877453,0,127.988517,0,0.3081317223,-6.627845774e-19,-8.214530846e-06,-3.07329921e-17,0.9949382615,0.9972929955,0,0.000283138598,1,1
4.599999905,0.999907491,-9.250895116e-05,1.107264813,0.1109943552,0.9962704579,132.2734681,0,127.9882686,0,0.3081384457,-5.113205273e-19,-8.489194029e-06,3.942563603e-17,0.9949345678,0.9972929955,0,0.0002838673876,1,1
4.699999809,0.9999055621,-9.44378826e-05,1.107219365,0.110999508,0.9962198572,132.3591554,0,127.9880235,0,0.3081454902,4.695194437e-19,-8.787587467e-06,-1.569195933e-16,0.9949370424,0.9972929955,0,0.0002836492519,1,1
4.799999714,0.9999037869,-9.621312889e-05,1.107180532,0.1110042537,0.9961762781,132.4448481,0,127.9877982,0,0.3081520147,5.51653067e-19,-9.08940069e-06,1.310908662e-16,0.9949570029,0.9972929955,0.7750738263,0.0002671166135,1,1
4.900000095,0.9999018581,-9.814192606e-05,1.107174644,0.1110094847,0.9961651592,132.5305297,0,127.987553,0,0.308159142,1.519349079e-18,-9.25958691e-06,-1.160796706e-16,0.9949521858,0.9972929955,0.775077045,0.0002678906619,1,1
5,0.9998998342,-0.0001001658234,1.10718807,0.1110151033,0.9961729668,132.6162299,0,127.9872957,0,0.3081666877,1.546365474e-18,-9.618786766e-06,1.736846269e-18,0.9949416824,0.9972929955,0,0.000281274251,1,1
5.099999905,0.9998978971,-0.0001021028834,1.107129997,0.1110210351,0.9961089622,132.7019955,0,127.9870495,0,0.3081746281,-4.456480705e-19,-9.877708117e-06,1.086645e-16,0.9949271317,0.9972929955,0,0.0002852478464,1,1
5.199999809,0.9998959967,-0.0001040033252,1.107268205,0.1110267897,0.9962414149,132.7878401,0,127.9868078,0,0.3081822768,1.318315236e-18,-1.019778488e-05,3.112491005e-17,0.9949478411,0.9972929955,0,0.0002812348706,1,1
5.299999714,0.9998940723,-0.000105927651,1.107196257,0.1110330045,0.9961632521,132.873776,0,127.9865632,0,0.3081907417,9.798608913e-19,-1.055946585e-05,2.980283728e-17,0.9949425082,0.9972929955,0,0.0002823861168,1,1
5.400000095,0.9998921019,-0.0001078980606,1.107099674,0.111039708,0.996059966,132.9598192,0,127.9863125,0,0.3081998296,-1.343462488e-18,-1.087829571e-05,2.022043533e-16,0.9949402606,0.9972929955,0,0.000282332142,1,1
5.5,0.9998902106,-0.000109789419,1.107171167,0.1110467842,0.9961243827,133.0460037,0,127.9860718,0,0.3082093479,-2.306873649e-19,-1.119559616e-05,2.534194976e-17,0.9949382592,0.9972929955,0,0.0002826253732,1,1
5.599999905,0.9998882595,-0.000111740516,1.107118835,0.1110529004,0.9960659343,133.132328,0,127.9858232,0,0.3082178,6.247184875e-19,-1.150688428e-05,4.648651917e-17,0.9949353534,0.9972929955,0,0.0002837386547,1,1
5.699999809,0.9998863499,-0.0001136501415,1.107086669,0.1110595323,0.9960271364,133.21882,0,127.9855797,0,0.3082267174,-3.229725654e-19,-1.174766828e-05,1.430566522e-17,0.9949351726,0.9972929955,0,0.000284228673,1,1
5.799999714,0.9998845229,-0.0001154771383,1.107134414,0.111066881,0.9960675334,133.3054994,0,127.9853467,0,0.3082368026,-9.327715115e-19,-1.212135892e-05,-2.92769072e-16,0.9949580088,0.9972929955,0.7750738263,0.0002666337338,1,1
5.900000095,0.9998826429,-0.0001173570825,1.107094774,0.1110734396,0.9960213343,133.3923606,0,127.985107,0,0.3082458693,-1.034818525e-19,-1.271719029e-05,-4.179329759e-17,0.9949505915,0.9972929955,0,0.000282329915,1,1
6,0.9998805851,-0.0001194149486,1.107135026,0.1110799821,0.9960550436,133.4793976,0,127.9848444,0,0.3082551082,-2.379765953e-18,-1.303669415e-05,-1.803097637e-17,0.9949318883,0.9972929955,0,0.0002852365349,1,1
6.099999905,0.9998786882,-0.000121311779,1.107263884,0.1110877272,0.9961761572,133.5666655,0,127.9846024,0,0.3082658696,-1.40413722e-18,-1.329645678e-05,-4.519709351e-17,0.9949436278,0.9972929955,0,0.0002818131359,1,1
6.199999809,0.999876805,-0.0001231949781,1.107094226,0.1110951994,0.9959990262,133.6541528,0,127.984362,0,0.3082762351,3.864648907e-19,-1.361219678e-05,-1.985781371e-17,0.9949564673,0.9972929955,0,0.0002804625659,1,1
6.299999714,0.9998749546,-0.0001250453975,1.107016503,0.1111024206,0.9959140828,133.7418691,0,127.9841258,0,0.3082864486,-9.177003441e-21,-1.393529216e-05,-1.222652388e-16,0.9949460503,0.9972929955,0.7752127051,0.0002698274362,1,1
6.399999619,0.9998730437,-0.000126956259,1.107055956,0.1111103,0.9959456558,133.8298073,0,127.9838815,0,0.3082975034,-2.294051518e-19,-1.439688529e-05,-1.073554777e-17,0.9949581641,0.9972929955,0.7750717402,0.000267558042,1,1
6.5,0.999871124,-0.0001288760023,1.107097695,0.1111179507,0.9959797443,133.9179787,0,127.9836359,0,0.3083082746,1.164592805e-19,-1.481063574e-05,6.760535248e-17,0.9949415988,0.9972929955,0.7750744224,0.0002713277734,1,1
6.599999905,0.9998691725,-0.0001308275447,1.106960175,0.1111260871,0.9958340883,134.0063829,0,127.9833862,0,0.30831954,-1.252594908e-18,-1.530779376e-05,-2.482638109e-16,0.9949523773,0.9972929955,0.7698817849,0.0002692320921,1,1
6.699999809,0.999867319,-0.0001326810066,1.10711427,0.1111340331,0.9959802368,134.095039,0,127.983149,0,0.3083307682,-1.289609499e-18,-1.573913288e-05,-4.388314746e-17,0.9949330551,0.9972929955,0,0.0002845486874,1,1
6.799999714,0.9998654222,-0.0001345777977,1.107020571,0.1111427151,0.995877856,134.1839285,0,127.9829061,0,0.3083428419,6.704416439e-20,-1.63037025e-05,-9.349211411e-17,0.9949313372,0.9972929955,0,0.0002850715553,1,1
6.899999619,0.9998635838,-0.0001364161742,1.107062226,0.1111515629,0.9959106628,134.2730639,0,127.9826704,0,0.3083547659,2.793961161e-19,-1.672723024e-05,-2.623775375e-16,0.9949511178,0.9972929955,0.7750717402,0.0002682333182,1,1
7,0.9998617634,-0.0001382366358,1.107031463,0.1111606428,0.9958708197,134.3624373,0,127.9824369,0,0.3083670457,3.316510813e-19,-1.722592312e-05,-7.431221025e-17,0.9949529418,0.9972929955,0.7750717402,0.0002674617732,1,1
7.099999905,0.9998599208,-0.0001400791926,1.107060161,0.1111704851,0.9958896759,134.4520409,0,127.9822004,0,0.3083803807,1.747071003e-19,-1.766350504e-05,7.449341223e-17,0.9949409761,0.9972929955,0.7750717402,0.0002708367441,1,1
7.199999809,0.9998580592,-0.000141940803,1.107095919,0.1111795225,0.9959163966,134.5418711,0,127.9819614,0,0.3083930067,-3.418851395e-19,-1.795822866e-05,-4.433937692e-17,0.9949420109,0.9972929955,0.7750717402,0.0002714133854,1,1
7.299999714,0.9998561406,-0.0001438593548,1.106887259,0.1111876683,0.9956995912,134.6319173,0,127.981715,0,0.3084046403,1.255115087e-18,-1.836420201e-05,5.363065106e-17,0.9949577678,0.9972929955,0.7750717402,0.0002674844177,1,1
7.399999619,0.999854294,-0.0001457059801,1.107076903,0.1111964537,0.995880449,134.7221907,0,127.9814776,0,0.3084170267,2.204009908e-19,-1.882580414e-05,3.550958254e-17,0.9949549181,0.9972929955,0.7750717402,0.0002682554426,1,1
7.5,0.9998523478,-0.0001476521977,1.107019297,0.1112053908,0.9958139058,134.8126617,0,127.9812271,0,0.3084296825,5.558662893e-19,-1.924152259e-05,-5.216659553e-17,0.9949380517,0.9972929955,0,0.0002833107045,1,1
7.599999905,0.9998504248,-0.0001495751619,1.10684972,0.1112152252,0.9956344948,134.9033394,0,127.9809796,0,0.3084434941,9.185874713e-19,-1.976753666e-05,1.449637109e-16,0.9949619731,0.9972929955,0.7750717402,0.0002662168557,1,1
7.699999809,0.9998485111,-0.0001514889163,1.107003031,0.111224934,0.9957780966,134.9942133,0,127.980733,0,0.3084571827,-2.511577087e-19,-2.029502897e-05,-8.550707918e-17,0.9949613887,0.9972929955,0.7750717402,0.0002669892154,1,1
7.799999714,0.9998465886,-0.0001534113885,1.106828663,0.1112340744,0.9955945884,135.0852721,0,127.9804853,0,0.3084700497,2.5765294e-19,-2.0616263e-05,3.613610615e-16,0.9949514548,0.9972929955,0.7750717402,0.000269021111,1,1
7.899999619,0.9998446724,-0.0001553276421,1.106924078,0.1112439653,0.9956801131,135.1765085,0,127.9802383,0,0.3084840927,-8.406623185e-19,-2.108015859e-05,1.635884259e-16,0.9949556253,0.9972929955,0.7751926184,0.0002678625268,1,1
8,0.9998427897,-0.0001572102747,1.106639127,0.1112542741,0.9953848534,135.2679168,0,127.9799954,0,0.3084984387,7.699414394e-19,-2.147900281e-05,1.120029758e-16,0.9949496977,0.9972929955,0.7750717402,0.0002695159234,1,1
8.099999428,0.9998408915,-0.0001591085223,1.107051409,0.1112653676,0.9957860411,135.3594799,0,127.9797504,0,0.3085132593,-5.72828789e-19,-2.171644392e-05,-1.180159946e-16,0.9949605545,0.9972936511,0.7743401527,0.0002662980625,1,1
8.199999809,0.9998390524,-0.0001609476314,1.106913571,0.1112765574,0.995637014,135.4511974,0,127.9795125,0,0.3085285782,-3.252467924e-19,-2.221722678e-05,-1.64789112e-16,0.9949401658,0.9972929955,0,0.0002839378326,1,1
8.300000191,0.9998372044,-0.0001627956005,1.107041788,0.1112867366,0.9957550517,135.5430495,0,127.9792735,0,0.3085423541,1.151072556e-18,-2.255301842e-05,2.196535314e-17,0.9949392248,0.9972929955,0,0.0002838937566,1,1
8.399999619,0.9998352335,-0.0001647664616,1.106972144,0.1112987564,0.9956733878,135.6350096,0,127.9790184,0,0.3085587098,-4.004572917e-19,-2.292356468e-05,-5.359921141e-17,0.994930323,0.9972929955,0,0.0002858522571,1,1
8.5,0.9998333103,-0.0001666897215,1.107086444,0.1113088447,0.995777599,135.7270906,0,127.9787694,0,0.308573053,-5.70326204e-19,-2.348112521e-05,1.918534531e-17,0.9949480839,0.9972929955,0,0.0002812196872,1,1
8.599999428,0.9998314145,-0.0001685854587,1.106864819,0.1113191471,0.9955456722,135.8192787,0,127.978524,0,0.3085878677,6.365704588e-19,-2.429526661e-05,-1.727419041e-18,0.9949492913,0.9972929955,0,0.0002807073593,1,1
8.699999809,0.9998294717,-0.0001705283305,1.106963152,0.1113293112,0.9956338403,135.9115529,0,127.9782724,0,0.308602411,5.263259563e-20,-2.472301729e-05,-1.804897664e-16,0.9949368043,0.9972929955,0,0.0002838223501,1,1
8.800000191,0.9998275954,-0.0001724045857,1.106789066,0.1113404294,0.9954486366,136.0039179,0,127.9780292,0,0.308618268,-3.584789185e-19,-2.535092138e-05,-1.343426585e-16,0.9949281297,0.9972929955,0,0.0002851143224,1,1
8.899999619,0.9998256672,-0.0001743327791,1.106957838,0.1113512802,0.9956065576,136.0963468,0,127.9777793,0,0.3086338429,-1.827319579e-19,-2.592255189e-05,-1.127215416e-16,0.9949332596,0.9972929955,0,0.0002853886182,1,1
9,0.9998237819,-0.0001762180649,1.10681763,0.111362543,0.9954550871,136.1888421,0,127.9775346,0,0.308649781,7.150829954e-19,-2.660596971e-05,3.207100251e-17,0.9949494407,0.9972929955,0.775077045,0.0002692755935,1,1
9.099999428,0.9998219377,-0.0001780623213,1.106816024,0.1113733999,0.9954426245,136.2813937,0,127.9772949,0,0.3086653379,-9.08767777e-19,-2.717687663e-05,1.333153749e-16,0.9949468928,0.9972929955,0.7750718594,0.0002709398831,1,1
9.199999809,0.9998200394,-0.0001799605507,1.106898763,0.1113848635,0.9955138996,136.3739788,0,127.9770486,0,0.3086813361,-7.330295583e-19,-2.785723557e-05,8.774379551e-17,0.9949525357,0.9972929955,0.7750717402,0.0002684888713,1,1
9.300000191,0.9998181959,-0.0001818041478,1.106818447,0.1113969059,0.9954215412,136.466603,0,127.9768088,0,0.3086980036,1.800149995e-19,-2.860362784e-05,-6.080684274e-17,0.9949508317,0.9972929955,0.7750717402,0.0002690338686,1,1
9.399999619,0.9998163573,-0.0001836427275,1.106914563,0.1114084458,0.9955061167,136.5592503,0,127.9765697,0,0.3087141392,-7.970681491e-19,-2.937242933e-05,-1.285772915e-16,0.9949443688,0.9972929955,0,0.0002820473228,1,1
9.5,0.9998145332,-0.0001854668345,1.107192436,0.1114202551,0.9957721805,136.6519133,0,127.9763321,0,0.3087307379,2.85581089e-19,-3.020912289e-05,2.470793913e-16,0.9949489906,0.9972929955,0.7750717402,0.0002695486068,1,1
9.599999428,0.9998126158,-0.0001873841831,1.106810325,0.1114326919,0.995377633,136.7445691,0,127.9760825,0,0.3087474878,-1.03655388e-18,-3.112106434e-05,1.904960456e-17,0.9949607444,0.9972929955,0.7750717402,0.000266059062,1,1
9.699999809,0.999810746,-0.0001892539568,1.106692533,0.1114440147,0.9952485183,136.8372291,0,127.9758387,0,0.3087631523,-2.844401084e-19,-3.195420676e-05,-6.548554535e-17,0.9949522494,0.9972929955,0.7750717402,0.0002687151948,1,1
9.800000191,0.9998088186,-0.0001911813517,1.106672083,0.1114539281,0.9952181552,136.9298716,0,127.9755876,0,0.3087768202,-6.240065581e-19,-3.28814875e-05,-6.730119763e-17,0.9949310498,0.9972929955,0,0.0002847963688,1,1
9.899999619,0.9998068956,-0.0001931043603,1.10671557,0.1114659742,0.9952495959,137.0224986,0,127.9753371,0,0.3087936307,-9.622264724e-19,-3.40057382e-05,-3.059507218e-17,0.9949564083,0.9972929955,0.7750717402,0.0002664232819,1,1
10,0.999804939,-0.0001950609824,1.106477018,0.1114768743,0.9950001437,137.115098,0,127.9750821,0,0.3088090191,-1.013342799e-18,-3.490838232e-05,-7.225324382e-17,0.9949485956,0.9972929955,0,0.0002816895091,1,1
10.09999943,0.9998029124,-0.0001970876351,1.106831293,0.1114892467,0.9953420458,137.2076594,0,127.974818,0,0.3088259736,-4.872892902e-19,-3.579651222e-05,-1.237175267e-16,0.9949440931,0.9972929955,0,0.0002818499392,1,1
10.19999981,0.9998009792,-0.0001990207582,1.106842908,0.1115011067,0.9953418012,137.3001999,0,127.9745656,0,0.3088422632,8.713211899e-19,-3.639706651e-05,4.864631251e-17,0.9949438038,0.9972929955,0,0.0002830283558,1,1
10.30000019,0.9997991065,-0.0002008935193,1.106935082,0.1115122671,0.9954228146,137.3927105,0,127.9743209,0,0.3088581013,4.217317789e-20,-3.730344055e-05,-6.979377397e-17,0.994944698,0.9972929955,0,0.0002825051938,1,1
10.39999962,0.9997971639,-0.000202836093,1.106846486,0.1115245042,0.9953219813,137.4851688,0,127.974067,0,0.3088747192,4.979824369e-20,-3.807545565e-05,-5.817328099e-17,0.9949442169,0.9972929955,0,0.0002824500033,1,1
10.5,0.9997952269,-0.0002047731128,1.106780621,0.111536951,0.9952436698,137.5775816,0,127.9738138,0,0.3088912912,9.790883771e-19,-3.892666771e-05,-4.944601263e-17,0.9949290266,0.9972929955,0,0.0002859939496,1,1
10.59999943,0.999793259,-0.0002067410329,1.106750857,0.1115484396,0.9952024171,137.6699407,0,127.9735564,0,0.3089070164,6.126322228e-19,-3.959555836e-05,1.407654678e-16,0.9949258961,0.9972929955,0,0.0002862271298,1,1
10.69999981,0.9997912824,-0.0002087176266,1.106466439,0.1115601757,0.9949062629,137.7622467,0,127.973298,0,0.3089231962,-3.834852811e-19,-4.014581117e-05,-3.564089179e-17,0.9949282734,0.9972929955,0,0.0002860786894,1,1
10.80000019,0.9997893296,-0.0002106703577,1.106794308,0.1115716786,0.9952226296,137.8545016,0,127.9730425,0,0.3089391495,7.511472818e-19,-4.068795297e-05,4.321226841e-17,0.9949541327,0.9972929955,0.775077045,0.0002686651742,1,1
10.89999962,0.999787307,-0.0002126929913,1.106701079,0.111582478,0.9951186007,137.9466905,0,127.9727779,0,0.3089545862,1.186997599e-18,-4.123891759e-05,2.584021882e-17,0.9949456118,0.9972929955,0,0.0002811307551,1,1
11,0.9997854327,-0.0002145673376,1.106626591,0.1115943448,0.9950322465,138.0388425,0,127.9725322,0,0.3089710818,-1.358101876e-19,-4.22262421e-05,-9.234277188e-17,0.9949647179,0.9972929955,0.775077045,0.0002657755738,1,1
11.09999943,0.9997834097,-0.0002165903484,1.106607679,0.1116060326,0.9950016465,138.1309154,0,127.9722674,0,0.3089869704,9.184713677e-19,-4.31454922e-05,-5.451941688e-17,0.9949598053,0.9972929955,0.775077045,0.0002670319576,1,1
